Season,Date,MatchNr,Home,Away,AvgH,AvgD,AvgA,Bet_Lul,Bet_Eric,Bet_Maki,Bet_Model,Result
2018,2018-09-15,1,Watford,Man United,4.25,3.6,1.95,,,,,
2018,2018-09-15,2,Bournemouth,Leicester,2.4,3.45,3.05,,,,,
2018,2018-09-15,3,Chelsea,Cardiff,1.19,7.8,19,,,,,
2018,2018-09-15,4,Huddersfield,Crystal Palace,3,3.2,2.55,,,,,
2018,2018-09-15,5,Man City,Fulham,1.12,11,27,,,,,
2018,2018-09-15,6,Newcastle,Arsenal,4.2,3.8,1.92,,,,,
2018,2018-09-15,7,Blackburn,Aston Villa,2.7,3.25,2.6,,,,,
2018,2018-09-15,8,Brentford,Wigan,1.86,3.5,4.3,,,,,
2018,2018-09-15,9,Bristol City,Sheffield United,2.65,3.35,2.6,,,,,
2018,2018-09-15,10,Hull,Ipswich,2.15,3.35,3.45,,,,,
2018,2018-09-15,11,Millwall,Leeds,3.1,3.35,2.31,,,,,
2018,2018-09-15,12,Orebro,Sundsvall,2.4,3.45,2.9,,,,,
2018,2018-09-15,13,Ostersunds,Malmo FF,2.95,3.35,2.4,,,,,
