Season,Date,MatchNr,Home,Away,AvgH,AvgD,AvgA,NrWinH,NrDrawH,NrLostH,NrWinA,NrDrawA,NrLostA,NrWinL5H,NrDrawL5H,NrLostL5H,NrWinL5A,NrDrawL5A,NrLostL5A,Model_ProbH,Model_ProbD,Model_ProbA,Bet_Model,Bet_Lul,Bet_Eric,Bet_Maki,Result
2018,2018-08-11,1,Bournemouth,Cardiff,1.91,3.6,4.45,0,0,0,0,0,0,2,0,3,1,1,3,0.6838051906,0.2001732288,0.1160215806,,1,1,1,1
2018,2018-08-11,2,Fulham,Crystal Palace,2.4,3.45,3.05,0,0,0,0,0,0,3,1,1,4,1,0,0.3294117647,0.3851984696,0.2853897657,,2,1X,1X,2
2018,2018-08-11,3,Huddersfield,Chelsea,6.2,4.05,1.63,0,0,0,0,0,0,1,2,2,3,1,0,0.034528244,0.2297609869,0.7357107691,,1X,1,1,2
2018,2018-08-11,4,Watford,Brighton,2.37,3.15,3.45,0,0,0,0,0,0,1,1,0,1,2,2,0.1841502519,0.5342991296,0.2815506184,,1,X2,X2,1
2018,2018-08-11,5,Wolves,Everton,2.36,3.35,3.35,0,0,0,0,0,0,3,1,1,2,2,1,0.1953190773,0.5940394006,0.2106415221,,2,1,1,X
2018,2018-08-11,6,Aston Villa,Wigan,1.94,3.4,4.1,1,0,0,1,0,0,3,1,1,1,2,2,0.5338406087,0.1859831798,0.2801762115,,1X,X2,X2,1
2018,2018-08-11,7,Blackburn,Millwall,2.4,3.15,3.05,0,1,0,0,1,0,2,3,0,1,3,1,0.1302318564,0.1337625107,0.736005633,,1,2,2,X
2018,2018-08-11,8,Derby,Leeds,2.02,3.4,3.8,1,0,0,1,0,0,3,1,1,3,0,2,0.3512629017,0.3817116005,0.2670254978,,2,1,1,2
2018,2018-08-11,9,Middlesbrough,Birmingham,1.67,3.7,5.4,1,1,0,0,1,0,3,2,0,2,1,2,0.9608075411,0.0121988104,0.0269936486,,1X,1,1,1
2018,2018-08-11,10,Nott'm Forest,Reading,1.64,3.7,5.7,0,2,0,0,0,1,1,3,1,0,2,3,0.7881324055,0.1381418093,0.0737257852,,1,1,1,1
2018,2018-08-11,11,QPR,Sheffield United,2.7,3.15,2.65,0,0,1,0,0,2,1,0,4,1,0,4,0.2238042116,0.239905234,0.5362905545,,2,X2,X2,2
2018,2018-08-11,12,Dalkurd,Malmo FF,7.35,4.95,1.42,2,3,11,7,4,5,1,1,3,3,2,0,0.0226514682,0.0045876391,0.9727608927,,1X,1,1,2
2018,2018-08-11,13,Orebro,Brommapojkarna,1.63,4.1,5.35,5,5,6,4,1,11,0,1,4,1,0,4,0.7536102126,0.066167976,0.1802218115,,1X,12,12,2
2018,2018-08-18,1,Chelsea,Arsenal,1.82,4.05,4.45,1,0,0,0,0,1,1,3,1,2,2,1,0.4968361335,0.1693903097,0.3337735567,12,1X,1X,12,1
2018,2018-08-18,2,Everton,Southampton,2.02,3.5,4.15,0,1,0,0,1,0,0,1,4,2,1,2,0.5735969429,0.0873465281,0.339056529,12,1,1,12,1
2018,2018-08-18,3,Leicester,Wolves,2.09,3.5,3.9,0,0,1,0,1,0,1,2,2,1,3,1,0.6971266595,0.0900952342,0.2127781063,1,1X,1,1,1
2018,2018-08-18,4,Tottenham,Fulham,1.28,6.4,12,1,0,0,0,0,1,3,1,1,0,1,4,0.96416371,0.0224883601,0.0133479299,1,1,1,1,1
2018,2018-08-18,5,West Ham,Bournemouth,2.23,3.55,3.35,0,0,1,1,0,0,3,1,1,2,1,2,0.4105391279,0.2977017255,0.2917591466,1,1,1X,1,2
2018,2018-08-18,6,Bristol City,Middlesbrough,2.75,3.05,2.7,0,2,0,2,1,0,0,3,2,3,2,0,0.2872142018,0.5198590868,0.1929267113,X,1X,1,X,2
2018,2018-08-18,7,Hull,Blackburn,2.34,3.25,3.15,0,1,1,0,2,0,0,4,1,2,2,1,0.3690462078,0.3986581,0.2322956922,1x,1,1X,1X,2
2018,2018-08-18,8,Ipswich,Aston Villa,3.8,3.2,2.08,0,1,1,2,0,0,1,2,2,4,0,1,0.0752172291,0.5089823551,0.4158004158,x2,X2,12,X2,X
2018,2018-08-18,9,Leeds,Rotherham,1.43,4.7,6.9,2,0,0,1,0,1,5,0,0,3,0,2,0.8230855327,0.092067733,0.0848467343,1,1,1,1,1
