"Date","Div","Home","Away","Res","AvgH","AvgD","AvgA","Season"
"2012-03-31","Allsvenskan","Elfsborg","Djurgarden","H",1.66,3.68,5,2012
"2012-03-31","Allsvenskan","GAIS","Hacken","D",2.25,3.24,3.11,2012
"2012-03-31","Allsvenskan","Sundsvall","Kalmar","A",2.64,3.14,2.62,2012
"2012-04-01","Allsvenskan","AIK","Mjallby","D",1.71,3.43,4.99,2012
"2012-04-01","Allsvenskan","Syrianska","Goteborg","H",4.63,3.41,1.77,2012
"2012-04-02","Allsvenskan","Malmo FF","Gefle","D",1.39,4.33,8.15,2012
"2012-04-02","Allsvenskan","Orebro","Atvidabergs","A",2.1,3.2,3.51,2012
"2012-04-02","Allsvenskan","Norrkoping","Helsingborg","H",3.63,3.34,2,2012
"2012-04-06","Allsvenskan","Atvidabergs","GAIS","H",2.68,3.21,2.54,2012
"2012-04-06","Allsvenskan","Gefle","Syrianska","D",2.02,3.27,3.64,2012
"2012-04-07","Allsvenskan","Hacken","Malmo FF","H",2.58,3.16,2.69,2012
"2012-04-07","Allsvenskan","Mjallby","Orebro","D",1.95,3.27,3.85,2012
"2012-04-08","Allsvenskan","Djurgarden","Sundsvall","H",1.63,3.64,5.32,2012
"2012-04-08","Allsvenskan","Helsingborg","Elfsborg","H",1.97,3.34,3.73,2012
"2012-04-09","Allsvenskan","Goteborg","Norrkoping","A",1.46,4.13,6.83,2012
"2012-04-09","Allsvenskan","Kalmar","AIK","A",2.4,3.15,2.95,2012
"2012-04-10","Allsvenskan","Atvidabergs","Gefle","H",2.01,3.24,3.63,2012
"2012-04-11","Allsvenskan","GAIS","Djurgarden","D",2.05,3.26,3.55,2012
"2012-04-11","Allsvenskan","Orebro","Helsingborg","D",3.22,3.26,2.19,2012
"2012-04-12","Allsvenskan","Elfsborg","Norrkoping","H",1.5,4.06,6.11,2012
"2012-04-12","Allsvenskan","Hacken","Mjallby","H",1.72,3.42,4.88,2012
"2012-04-12","Allsvenskan","Sundsvall","Syrianska","H",1.77,3.46,4.59,2012
"2012-04-12","Allsvenskan","AIK","Goteborg","D",2.27,3.18,3.1,2012
"2012-04-13","Allsvenskan","Malmo FF","Kalmar","H",1.64,3.68,5.24,2012
"2012-04-15","Allsvenskan","Syrianska","AIK","A",4.26,3.37,1.84,2012
"2012-04-15","Allsvenskan","Goteborg","Orebro","D",1.44,4.09,7.17,2012
"2012-04-15","Allsvenskan","Mjallby","Atvidabergs","H",2.03,3.3,3.49,2012
"2012-04-16","Allsvenskan","Gefle","Elfsborg","A",3.76,3.34,1.95,2012
"2012-04-16","Allsvenskan","Helsingborg","GAIS","D",1.72,3.43,4.94,2012
"2012-04-16","Allsvenskan","Kalmar","Hacken","H",2.92,3.22,2.36,2012
"2012-04-16","Allsvenskan","Norrkoping","Sundsvall","D",2.03,3.23,3.67,2012
"2012-04-16","Allsvenskan","Djurgarden","Malmo FF","A",2.52,3.18,2.75,2012
"2012-04-20","Allsvenskan","Mjallby","Djurgarden","H",2.09,3.19,3.54,2012
"2012-04-21","Allsvenskan","Atvidabergs","Helsingborg","A",3.07,3.26,2.26,2012
"2012-04-21","Allsvenskan","Kalmar","Gefle","A",1.71,3.54,4.83,2012
"2012-04-22","Allsvenskan","GAIS","Norrkoping","H",1.72,3.54,4.74,2012
"2012-04-22","Allsvenskan","AIK","Sundsvall","D",1.53,3.85,6.16,2012
"2012-04-23","Allsvenskan","Hacken","Goteborg","A",2.37,3.27,2.86,2012
"2012-04-23","Allsvenskan","Malmo FF","Syrianska","H",1.23,5.7,12.24,2012
"2012-04-23","Allsvenskan","Orebro","Elfsborg","A",3.49,3.34,2.04,2012
"2012-04-26","Allsvenskan","Elfsborg","GAIS","H",1.64,3.68,5.18,2012
"2012-04-26","Allsvenskan","Gefle","AIK","A",3.25,3.19,2.21,2012
"2012-04-27","Allsvenskan","Helsingborg","Mjallby","D",1.68,3.58,5.02,2012
"2012-04-28","Allsvenskan","Syrianska","Hacken","A",4.25,3.55,1.79,2012
