"Date","Div","Res","Odds","OddsDraw","OddsOpp","Season","Team","Res_1_0","Odds_Intervall","Country"
"2008-08-15","D2","Win",1.66,3.46,4.72,2008,"Aachen",1,"(1.5,2]","DE"
"2008-08-24","D2","Lost",3.65,3.26,1.93,2008,"Aachen",0,"(3.5,4]","DE"
"2008-08-31","D2","Draw",4.48,3.41,1.71,2008,"Aachen",0,"(4,5]","DE"
"2008-09-12","D2","Win",1.59,3.6,5.31,2008,"Aachen",1,"(1.5,2]","DE"
"2008-09-19","D2","Lost",3.43,3.27,2.01,2008,"Aachen",0,"(3,3.5]","DE"
"2008-09-28","D2","Win",2.37,3.21,2.74,2008,"Aachen",1,"(2,2.5]","DE"
"2008-10-05","D2","Lost",2.82,3.21,2.3,2008,"Aachen",0,"(2.5,3]","DE"
"2008-10-20","D2","Win",2.55,3.2,2.53,2008,"Aachen",1,"(2.5,3]","DE"
"2008-10-24","D2","Draw",3.53,3.32,1.96,2008,"Aachen",0,"(3.5,4]","DE"
"2008-10-28","D2","Lost",1.56,3.65,5.56,2008,"Aachen",0,"(1.5,2]","DE"
"2008-10-31","D2","Win",2.49,3.24,2.61,2008,"Aachen",1,"(2,2.5]","DE"
"2008-11-07","D2","Win",1.54,3.71,5.82,2008,"Aachen",1,"(1.5,2]","DE"
"2008-11-16","D2","Draw",2.42,3.19,2.68,2008,"Aachen",0,"(2,2.5]","DE"
"2008-11-21","D2","Win",1.45,3.98,6.54,2008,"Aachen",1,"(1,1.5]","DE"
"2008-11-28","D2","Draw",4.21,3.4,1.79,2008,"Aachen",0,"(4,5]","DE"
"2008-12-05","D2","Win",1.84,3.37,4,2008,"Aachen",1,"(1.5,2]","DE"
"2008-12-14","D2","Lost",2.76,3.25,2.35,2008,"Aachen",0,"(2.5,3]","DE"
"2009-02-01","D2","Lost",2.36,3.23,2.75,2008,"Aachen",0,"(2,2.5]","DE"
"2009-02-06","D2","Draw",1.7,3.43,4.73,2008,"Aachen",0,"(1.5,2]","DE"
"2009-02-15","D2","Win",2.45,3.21,2.69,2008,"Aachen",1,"(2,2.5]","DE"
"2009-02-20","D2","Draw",2.4,3.24,2.76,2008,"Aachen",0,"(2,2.5]","DE"
"2009-03-02","D2","Lost",2.18,3.23,3.08,2008,"Aachen",0,"(2,2.5]","DE"
"2009-03-08","D2","Lost",4.79,3.42,1.69,2008,"Aachen",0,"(4,5]","DE"
"2009-03-15","D2","Lost",1.7,3.46,4.66,2008,"Aachen",0,"(1.5,2]","DE"
"2009-03-22","D2","Win",5.54,3.52,1.6,2008,"Aachen",1,"(5,10]","DE"
"2009-04-05","D2","Win",2.25,3.25,2.98,2008,"Aachen",1,"(2,2.5]","DE"
"2009-04-12","D2","Win",2.27,3.24,2.94,2008,"Aachen",1,"(2,2.5]","DE"
"2009-04-19","D2","Win",1.67,3.46,4.89,2008,"Aachen",1,"(1.5,2]","DE"
"2009-04-26","D2","Win",2.68,3.21,2.46,2008,"Aachen",1,"(2.5,3]","DE"
"2009-05-03","D2","Draw",1.45,3.93,6.82,2008,"Aachen",0,"(1,1.5]","DE"
"2009-05-08","D2","Lost",2.45,3.25,2.7,2008,"Aachen",0,"(2,2.5]","DE"
"2009-05-12","D2","Win",2.22,3.33,3.01,2008,"Aachen",1,"(2,2.5]","DE"
"2009-05-17","D2","Draw",2.69,3.3,2.39,2008,"Aachen",0,"(2.5,3]","DE"
"2009-05-24","D2","Win",1.61,3.63,5.07,2008,"Aachen",1,"(1.5,2]","DE"
"2009-08-07","D2","Draw",3.37,3.26,2.06,2009,"Aachen",0,"(3,3.5]","DE"
"2009-08-17","D2","Lost",1.76,3.42,4.31,2009,"Aachen",0,"(1.5,2]","DE"
"2009-08-23","D2","Draw",4.26,3.4,1.78,2009,"Aachen",0,"(4,5]","DE"
"2009-08-30","D2","Win",1.54,3.7,5.9,2009,"Aachen",1,"(1.5,2]","DE"
"2009-09-13","D2","Lost",2.57,3.21,2.58,2009,"Aachen",0,"(2.5,3]","DE"
"2009-09-20","D2","Win",1.97,3.28,3.58,2009,"Aachen",1,"(1.5,2]","DE"
"2009-09-28","D2","Draw",2.86,3.25,2.3,2009,"Aachen",0,"(2.5,3]","DE"
