"Date","Home","Away","Result","Score_Home","Score_Away","Odds_Home","Odds_Draw","Odds_Away","Division","Season","Coming5","IsPlayed"
2019-02-18,"Nurnberg","Dortmund",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-17,"Ein Frankfurt","M'gladbach",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-17,"Leverkusen","Fortuna Dusseldorf",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-17,"Blackburn","Middlesbrough",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Schalke 04","Freiburg",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-16,"Wolfsburg","Mainz",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-16,"Hoffenheim","Hannover",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-16,"Stuttgart","RB Leipzig",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-16,"Hertha","Werder Bremen",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-16,"Rotherham","Sheffield Weds",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Aston Villa","West Brom",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Preston","Nott'm Forest",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Bolton","Norwich",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Sheffield United","Reading",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-16,"Ipswich","Stoke",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-15,"Augsburg","Bayern Munich",NA,NA,NA,NA,NA,NA,"Bundesliga",2019,1,0
2019-02-13,"Preston","Norwich",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Brentford","Aston Villa",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Leeds","Swansea",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Sheffield United","Middlesbrough",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Wigan","Stoke",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Ipswich","Derby",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-13,"Reading","Blackburn",NA,NA,NA,NA,NA,NA,"Championship",2019,1,0
2019-02-12,"West Brom","Nott'm Forest","D",2,2,1.66,4.2,5.25,"Championship",2019,0,1
2019-02-12,"Hull","Rotherham","D",2,2,1.72,3.8,5.5,"Championship",2019,0,1
2019-02-12,"Birmingham","Bolton","A",0,1,1.57,3.9,7.5,"Championship",2019,0,1
2019-02-12,"Bristol City","QPR","H",2,1,1.8,3.75,5,"Championship",2019,0,1
2019-02-12,"Millwall","Sheffield Weds","D",0,0,2.2,3.3,3.75,"Championship",2019,0,1
2019-02-11,"Wolves","Norrkoping","D",1,1,1.83,3.5,5.25,"Premier League",2019,0,1
2019-02-10,"Fortuna Dusseldorf","Stuttgart","H",3,0,1.95,3.6,3.8,"Bundesliga",2019,0,1
2019-02-10,"Werder Bremen","Augsburg","H",4,0,1.61,4.2,4.75,"Bundesliga",2019,0,1
2019-02-10,"Norwich","Ipswich","H",3,0,1.36,5.25,9.5,"Championship",2019,0,1
2019-02-10,"Man City","Chelsea","H",6,0,1.53,4.6,6.5,"Premier League",2019,0,1
2019-02-10,"Tottenham","Leicester","H",3,1,1.66,3.95,5.75,"Premier League",2019,0,1
2019-02-09,"Bayern Munich","Schalke 04","H",3,1,1.22,6.5,12,"Bundesliga",2019,0,1
2019-02-09,"Dortmund","Hoffenheim","D",3,3,1.75,4,4.2,"Bundesliga",2019,0,1
2019-02-09,"RB Leipzig","Ein Frankfurt","D",0,0,1.72,4,4.2,"Bundesliga",2019,0,1
2019-02-09,"M'gladbach","Hertha","A",0,3,1.57,4.2,5.5,"Bundesliga",2019,0,1
2019-02-09,"Hannover","Nurnberg","H",2,0,2,3.5,3.75,"Bundesliga",2019,0,1
2019-02-09,"Freiburg","Wolfsburg","D",3,3,2.75,3.3,2.6,"Bundesliga",2019,0,1
2019-02-09,"Stoke","West Brom","A",0,1,2.8,3.2,2.8,"Championship",2019,0,1
2019-02-09,"Swansea","Millwall","H",1,0,2.1,3.4,3.9,"Championship",2019,0,1
2019-02-09,"Nott'm Forest","Brentford","H",2,1,2.9,3.4,2.6,"Championship",2019,0,1
2019-02-09,"QPR","Birmingham","A",3,4,2.45,3.25,3.25,"Championship",2019,0,1
2019-02-09,"Blackburn","Bristol City","A",0,1,2.8,3.1,2.87,"Championship",2019,0,1
2019-02-09,"Rotherham","Wigan","D",1,1,3,3.4,2.5,"Championship",2019,0,1
2019-02-09,"Bolton","Preston","A",1,2,4.75,3.6,1.85,"Championship",2019,0,1
2019-02-09,"Sheffield Weds","Reading","D",0,0,2,3.4,4.33,"Championship",2019,0,1
2019-02-09,"Derby","Hull","H",2,0,2.2,3.5,3.5,"Championship",2019,0,1
2019-02-09,"Middlesbrough","Leeds","D",1,1,2.9,3.2,2.7,"Championship",2019,0,1
2019-02-09,"Brighton","Burnley","A",1,3,2.05,3.4,4.1,"Premier League",2019,0,1
2019-02-09,"Huddersfield","Arsenal","A",1,2,5.25,3.9,1.72,"Premier League",2019,0,1
2019-02-09,"Liverpool","Bournemouth","H",3,0,1.18,8,17,"Premier League",2019,0,1
2019-02-09,"Southampton","Cardiff","A",1,2,1.8,3.6,5.25,"Premier League",2019,0,1
2019-02-09,"Crystal Palace","West Ham","D",1,1,2,3.6,4,"Premier League",2019,0,1
2019-02-09,"Watford","Everton","H",1,0,2.4,3.5,3.1,"Premier League",2019,0,1
2019-02-09,"Fulham","Man United","A",0,3,5.25,4,1.7,"Premier League",2019,0,1
2019-02-08,"Mainz","Leverkusen","A",1,5,4.2,4,1.75,"Bundesliga",2019,0,1
2019-02-08,"Aston Villa","Sheffield United","D",3,3,2.9,3.5,2.55,"Championship",2019,0,1
2019-02-06,"Everton","Man City","A",0,2,10.5,6.5,1.28,"Premier League",2019,0,1
