soccervista,historic
AFC Bournemouth,Bournemouth
Arsenal,Arsenal
Aston Villa,Aston Villa
Augsburg,Augsburg
Bayer Leverkusen,Leverkusen
Bayern Munich,Bayern Munich
Birmingham City,Birmingham
Blackburn Rovers,Blackburn
Bolton Wanderers,Bolton
Borussia Dortmund,Dortmund
Borussia Moenchengladbach,M'gladbach
Brentford,Brentford
Brighton & Hove Albion,Brighton
Bristol City,Bristol City
Burnley,Burnley
Cardiff City,Cardiff
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Derby County,Derby
Eintracht Frankfurt,Ein Frankfurt
Everton,Everton
Fortuna Duesseldorf,Fortuna Dusseldorf
Freiburg,Freiburg
Fulham,Fulham
Hannover 96,Hannover
Hertha Berlin,Hertha
Hoffenheim,Hoffenheim
Huddersfield Town,Huddersfield
Hull City,Hull
Ipswich Town,Ipswich
Leeds United,Leeds
Leicester City,Leicester
Liverpool,Liverpool
Mainz 05,Mainz
Manchester City,Man City
Manchester United,Man United
Middlesbrough,Middlesbrough
Millwall,Millwall
Newcastle United,Norrkoping
Norwich City,Norwich
Nottingham Forest,Nott'm Forest
Nuernberg,Nurnberg
Preston North End,Preston
Queens Park Rangers,QPR
RasenBallsport Leipzig,RB Leipzig
Reading,Reading
Rotherham United,Rotherham
Schalke 04,Schalke 04
Sheffield United,Sheffield United
Sheffield Wednesday,Sheffield Weds
Southampton,Southampton
Stoke City,Stoke
Swansea City,Swansea
Tottenham Hotspur,Tottenham
VfB Stuttgart,Stuttgart
Watford,Watford
Werder Bremen,Werder Bremen
West Bromwich Albion,West Brom
West Ham United,West Ham
Wigan Athletic,Wigan
Wolfsburg,Wolfsburg
Wolverhampton Wanderers,Wolves
