"","Date","Div","Res","Odds","OddsDraw","OddsOpp","Country","YearWeek","Season","Team","Res_1_0","Odds_Intervall"
"1",2017-04-02,"Allsvenskan","Lost",3.09,3.32,2.28,"SE",201714,"2017","AFC Eskilstuna",0,"(3,3.5]"
"2",2017-04-08,"Allsvenskan","Draw",2.81,3.31,2.46,"SE",201714,"2017","AFC Eskilstuna",0,"(2.5,3]"
"3",2017-04-17,"Allsvenskan","Draw",10.48,5.59,1.27,"SE",201716,"2017","AFC Eskilstuna",0,"(10,100]"
"4",2017-04-23,"Allsvenskan","Draw",2.08,3.4,3.45,"SE",201717,"2017","AFC Eskilstuna",0,"(2,2.5]"
"5",2017-04-26,"Allsvenskan","Lost",4.42,3.66,1.77,"SE",201717,"2017","AFC Eskilstuna",0,"(4,5]"
"6",2017-04-29,"Allsvenskan","Lost",6.09,4.12,1.52,"SE",201717,"2017","AFC Eskilstuna",0,"(5,10]"
"7",2017-05-07,"Allsvenskan","Lost",5.33,3.62,1.67,"SE",201719,"2017","AFC Eskilstuna",0,"(5,10]"
"8",2017-05-12,"Allsvenskan","Lost",5.36,4.24,1.56,"SE",201719,"2017","AFC Eskilstuna",0,"(5,10]"
"9",2017-05-18,"Allsvenskan","Lost",7.6,5.22,1.35,"SE",201720,"2017","AFC Eskilstuna",0,"(5,10]"
"10",2017-05-21,"Allsvenskan","Draw",5.68,4.15,1.54,"SE",201721,"2017","AFC Eskilstuna",0,"(5,10]"
"11",2017-05-27,"Allsvenskan","Lost",9.99,5.73,1.27,"SE",201721,"2017","AFC Eskilstuna",0,"(5,10]"
"12",2017-06-04,"Allsvenskan","Lost",5.99,3.69,1.6,"SE",201723,"2017","AFC Eskilstuna",0,"(5,10]"
"13",2017-07-01,"Allsvenskan","Lost",18.72,8.38,1.13,"SE",201726,"2017","AFC Eskilstuna",0,"(10,100]"
"14",2017-07-08,"Allsvenskan","Lost",6.58,4.34,1.47,"SE",201727,"2017","AFC Eskilstuna",0,"(5,10]"
"15",2017-07-15,"Allsvenskan","Win",2.68,3.21,2.62,"SE",201728,"2017","AFC Eskilstuna",1,"(2.5,3]"
"16",2017-07-23,"Allsvenskan","Lost",4.65,3.6,1.75,"SE",201730,"2017","AFC Eskilstuna",0,"(4,5]"
"17",2017-07-31,"Allsvenskan","Lost",6.98,4.51,1.43,"SE",201731,"2017","AFC Eskilstuna",0,"(5,10]"
"18",2017-08-07,"Allsvenskan","Lost",9.44,5.71,1.28,"SE",201732,"2017","AFC Eskilstuna",0,"(5,10]"
"19",2017-08-13,"Allsvenskan","Draw",12.02,5.64,1.25,"SE",201733,"2017","AFC Eskilstuna",0,"(10,100]"
"20",2017-08-19,"Allsvenskan","Win",7.97,4.74,1.38,"SE",201733,"2017","AFC Eskilstuna",1,"(5,10]"
"21",2017-08-26,"Allsvenskan","Draw",4.33,3.71,1.78,"SE",201734,"2017","AFC Eskilstuna",0,"(4,5]"
"22",2017-09-09,"Allsvenskan","Lost",8.21,4.76,1.37,"SE",201736,"2017","AFC Eskilstuna",0,"(5,10]"
"23",2017-09-18,"Allsvenskan","Lost",2.71,3.23,2.59,"SE",201738,"2017","AFC Eskilstuna",0,"(2.5,3]"
"24",2017-09-21,"Allsvenskan","Win",5.42,4.4,1.54,"SE",201738,"2017","AFC Eskilstuna",1,"(5,10]"
"25",2017-09-25,"Allsvenskan","Win",3.3,3.63,2.08,"SE",201739,"2017","AFC Eskilstuna",1,"(3,3.5]"
"26",2017-09-30,"Allsvenskan","Draw",2.28,3.31,3.15,"SE",201739,"2017","AFC Eskilstuna",0,"(2,2.5]"
"27",2017-10-14,"Allsvenskan","Lost",7.02,4.82,1.41,"SE",201741,"2017","AFC Eskilstuna",0,"(5,10]"
"28",2017-10-21,"Allsvenskan","Lost",2.93,3.68,2.24,"SE",201742,"2017","AFC Eskilstuna",0,"(2.5,3]"
"29",2017-10-28,"Allsvenskan","Draw",3.77,3.69,1.9,"SE",201743,"2017","AFC Eskilstuna",0,"(3.5,4]"
"30",2017-11-05,"Allsvenskan","Lost",2.67,3.64,2.44,"SE",201745,"2017","AFC Eskilstuna",0,"(2.5,3]"
"31",2012-04-01,"Allsvenskan","Draw",1.71,3.43,4.99,"SE",201214,"2012","AIK",0,"(1.5,2]"
"32",2012-04-09,"Allsvenskan","Win",2.95,3.15,2.4,"SE",201215,"2012","AIK",1,"(2.5,3]"
"33",2012-04-12,"Allsvenskan","Draw",2.27,3.18,3.1,"SE",201215,"2012","AIK",0,"(2,2.5]"
"34",2012-04-15,"Allsvenskan","Win",1.84,3.37,4.26,"SE",201216,"2012","AIK",1,"(1.5,2]"
